parm_1;parm_2;parm_3;parm_4;parm_5;parm_6
1,27E+20;1,29E+19;3,60E+19;3,08E+19;-4,84E+19;2,54E+19
1,77E+20;-1,27E+18;2,37E+19;2,85E+19;-6,13E+19;1,19E+19
1,73E+20;2,75E+19;3,67E+19;2,47E+19;-4,95E+19;1,32E+19
1,16E+20;-1,18E+19;3,63E+19;4,17E+19;-6,01E+19;2,87E+19
1,38E+20;-1,76E+19;2,22E+19;3,14E+19;-4,07E+19;2,55E+19
1,50E+20;2,66E+19;2,88E+19;1,89E+19;-4,86E+19;7,15E+18
1,18E+20;-5,10E+18;3,06E+17;2,71E+19;-6,54E+19;1,60E+19
5,99E+19;1,61E+19;4,06E+19;3,77E+19;-3,91E+19;2,60E+19
1,53E+20;-1,64E+19;2,46E+19;2,81E+19;-5,19E+19;1,27E+19
1,58E+20;-1,36E+19;7,44E+18;2,28E+19;-5,02E+19;1,25E+19
1,38E+20;9,13E+18;8,35E+18;2,70E+19;-5,12E+19;9,24E+18
9,19E+19;-1,76E+19;2,30E+19;2,42E+19;-6,87E+19;2,24E+19
1,15E+20;1,01E+19;4,02E+19;2,53E+19;-6,16E+19;1,55E+19
1,02E+20;1,32E+19;2,45E+19;4,16E+19;-5,66E+19;1,02E+19
1,12E+20;1,24E+19;3,66E+19;2,73E+19;-6,68E+19;1,91E+19
1,74E+20;6,77E+18;2,07E+19;2,11E+19;-4,46E+19;5,53E+18
1,74E+20;8,51E+18;1,27E+19;2,23E+19;-4,45E+19;4,40E+19
1,49E+20;1,84E+18;4,11E+19;1,59E+19;-6,39E+19;2,08E+19
1,40E+20;1,49E+19;3,32E+19;3,79E+19;-7,89E+19;1,10E+19
1,49E+20;-9,21E+18;3,09E+19;2,95E+19;-6,34E+19;5,54E+18
1,22E+20;-1,61E+19;4,42E+19;3,79E+19;-4,92E+19;3,04E+19
1,21E+20;1,11E+19;2,19E+19;3,24E+19;-3,76E+19;1,05E+19
9,81E+19;2,62E+19;2,35E+19;1,91E+19;-5,83E+19;2,50E+19
1,18E+20;-1,12E+19;4,25E+19;1,50E+19;-6,25E+19;1,86E+19
2,05E+20;-1,32E+19;5,91E+19;1,87E+19;-4,68E+19;1,65E+19
1,65E+20;1,21E+19;2,93E+19;7,78E+18;-5,98E+19;1,06E+19
1,07E+20;2,47E+19;5,16E+19;2,30E+19;-4,79E+19;2,01E+19
1,04E+20;-2,71E+18;2,44E+19;3,57E+19;-4,05E+19;1,08E+19
9,40E+19;-2,33E+19;3,63E+19;2,42E+19;-5,43E+19;5,88E+18
1,38E+20;3,53E+19;2,87E+19;3,12E+19;-5,88E+19;9,32E+18
1,38E+20;-4,72E+18;1,22E+19;3,15E+19;-4,12E+19;1,61E+19
7,03E+19;7,17E+18;2,80E+19;3,04E+19;-6,56E+19;2,57E+19
1,40E+20;1,90E+19;4,43E+19;2,54E+19;-5,04E+19;6,60E+18
1,03E+20;-5,74E+18;2,56E+19;3,28E+19;-6,63E+19;1,92E+19
1,76E+20;2,76E+19;2,86E+19;1,97E+19;-5,54E+19;3,15E+19
1,25E+20;-1,32E+18;4,65E+19;4,18E+19;-4,80E+19;1,38E+19
1,89E+20;-2,01E+19;1,39E+19;3,05E+19;-4,10E+19;2,00E+19
1,02E+20;-1,11E+18;1,50E+19;4,71E+18;-4,30E+19;2,07E+19
1,19E+20;1,69E+19;2,21E+19;3,09E+19;-5,12E+19;2,86E+19
1,34E+20;3,91E+19;2,23E+19;1,75E+18;-5,29E+19;2,57E+19
1,59E+20;2,88E+19;4,89E+19;1,25E+19;-4,90E+19;1,51E+19
1,40E+20;3,72E+19;4,11E+19;3,14E+18;-3,24E+19;1,79E+19
7,61E+19;-2,70E+19;1,64E+19;1,76E+19;-6,91E+19;3,96E+19
1,33E+20;7,30E+18;2,81E+19;1,85E+19;-4,07E+19;5,10E+18
1,26E+20;2,40E+19;6,85E+19;2,20E+19;-4,53E+19;1,39E+19
1,07E+20;2,33E+19;2,64E+19;3,80E+19;-4,29E+19;1,29E+19
1,02E+20;2,01E+19;1,96E+19;2,03E+19;-6,26E+19;2,61E+19
1,88E+20;1,18E+19;3,36E+19;1,86E+19;-5,97E+19;2,44E+19
1,10E+20;2,38E+19;3,71E+19;2,85E+19;-4,84E+19;2,40E+19
